0,1,22472,32,14,22425,37
0,1,38896,14,66,38815,34
0,1,38897,66,14,38816,37
0,2,81865,32,60,81771,34
0,3,61514,32,11,61468,36
0,1,51677,15,87,51574,34
1,2,363117,14,66,363035,71
1,3,465569,14,100,465452,69
1,2,68551,15,32,68502,34
2,4,751304,14,86,751200,68
2,1,50438,66,60,50311,37
2,1,62480,86,60,62333,34
2,3,128728,15,100,128610,66
3,4,291119,32,100,290983,63
3,3,170096,14,61,170016,70
3,5,170096,14,61,170016,70
3,1,24257,61,86,24109,34
3,2,15242,61,15,15164,36
4,6,247790,14,73,247697,69
4,4,139871,15,87,139765,71
4,5,67340,32,14,67289,41
5,3,92750,61,15,92671,7
5,3,92750,61,15,92671,34
5,7,47822,14,32,47769,41
5,1,1239534203,37,14,1239534151,1000
5,1,23514,87,11,23415,34
5,2,6007,86,66,5853,23
6,6,24505,32,15,24452,31
6,2,181165,66,100,180997,64
6,1,72917,100,60,72756,40
7,8,479975,14,49,479904,69
7,5,16061,15,49,15992,31
7,6,7836,15,73,78269,35
7,6,78363,15,73,78269,35
7,2,133002,100,86,132814,70
7,1,38738,11,15,38711,34
8,1,87525,73,61,87390,41
8,2,106662,73,61,106526,66
8,3,61505,73,86,61343,37
9,3,281209,100,66,281040,64
9,7,582818,32,15,582764,68
9,1,68208,60,11,68136,33
10,1,32842,49,15,32777,37
10,4,11083,61,73,10945,39
10,4,23298,73,66,23155,40
11,2,16992,11,86,16893,31
11,2,42982,60,87,42833,36
11,3,120137,60,32,120042,68
